,0
0,O=C2c1c(ncn1C)N(C(=O)N2C)C
1,C(=CC=C(C=CC=C(C=CC1C(=CCCC1(C)(C))C)C)C)C=C(C=CC=C(C=CC2=C(C)CCCC2(C)C)C)C
2,OC3CC(=CC=C1CCCC2(C)(C1CCC2(C(C)CCCC(C)C)))C(=C)CC3
3,OC2CC(=C(C=CC(=CC=CC(=CC=CC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C)C)C)C(C)(C)C2)C
4,n1cc(ncc1C)C
5,O=C(O)CCC(NC(=O)c1ccc(cc1)NCc2nc3C(O)=NC(=N)Nc3(nc2))C(=O)O
6,O=C1C=COC(=C1(O))C
7,O=C(O)c1cnccc1
8,O=C(O)CCN=C(O)C(O)C(C)(C)CO
9,O=C(C=CC=Cc1ccc2OCOc2(c1))N3CCCCC3
10,O=S2(=O)(N=C(O)c1ccccc12)
11,c1ccsc1
12,Oc2c(c(c1OC(C)(CCc1c2C)CCCC(C)CCCC(C)CCCC(C)C)C)C
13,Oc2cc(c1OC(C)(CCc1c2C)CCCC(C)CCCC(C)CCCC(C)C)C
14,Oc2cc1c(OC(C)(CC1)CCCC(C)CCCC(C)CCCC(C)C)c(c2C)C
15,Oc1cc(c2OC(C)(CCc2(c1))CCCC(C)CCCC(C)CCCC(C)C)C
